,Symbol,Name,Price (Intraday),Change,% Change,Volume,Avg Vol (3 month),Market Cap,PE Ratio (TTM),52 Week Range
0,F,Ford Motor Company,13.73,0.5,+3.74%,46.84M,60.636M,54.828B,16.03,
1,AAPL,Apple Inc.,146.99,1.14,+0.79%,43.915M,79.712M,2.43T,28.78,
2,PLTR,Palantir Technologies Inc.,28.88,1.45,+5.29%,42.363M,45.1M,56.406B,,
3,AAL,American Airlines Group Inc.,21.05,0.53,+2.58%,39.745M,31.006M,13.629B,,
4,VALE,Vale S.A.,15.0,0.14,+0.93%,37.063M,26.518M,74.877B,4.49,
5,WISH,ContextLogic Inc.,6.16,0.25,+4.25%,36.385M,51.76M,3.869B,,
6,CCL,Carnival Corporation & plc,24.78,1.17,+4.98%,35.909M,32.604M,28.7B,,
7,ABEV,Ambev S.A.,2.9524,0.0324,+1.11%,35.006M,25.064M,47.447B,16.97,
8,BAC,Bank of America Corporation,41.83,1.69,+4.20%,34.844M,47.085M,351.953B,13.96,
9,BB,BlackBerry Limited,10.77,1.21,+12.71%,33.444M,10.474M,6.103B,,
10,LCID,"Lucid Group, Inc.",25.29,0.34,+1.36%,32.385M,20.597M,40.932B,,
11,AMC,"AMC Entertainment Holdings, Inc.",40.59,0.51,+1.27%,30.817M,89.26M,20.835B,,
12,FCEL,"FuelCell Energy, Inc.",7.12,0.46,+6.91%,26.812M,21.271M,2.61B,,
13,SOFI,"SoFi Technologies, Inc.",17.02,0.18,+1.10%,24.3M,21.363M,13.614B,,
14,QS,QuantumScape Corporation,26.79,3.18,+13.47%,24.194M,9.091M,11.15B,,
15,AMD,"Advanced Micro Devices, Inc.",106.65,2.28,+2.18%,24.147M,61.729M,129.369B,37.59,
16,T,AT&T Inc.,27.26,0.25,+0.93%,23.68M,31.673M,194.639B,,
17,EDU,New Oriental Education & Technology Group Inc.,1.9512,-0.0388,-1.95%,23.705M,81.889M,3.32B,8.13,
18,CLF,Cleveland-Cliffs Inc.,21.06,1.08,+5.42%,20.261M,24.954M,10.526B,12.08,
19,ITUB,Itaú Unibanco Holding S.A.,5.39,0.21,+3.96%,20.098M,34.865M,52.665B,10.03,
20,NIO,NIO Inc.,35.97,0.27,+0.77%,20.044M,49.928M,58.95B,,
21,BBD,Banco Bradesco S.A.,3.915,0.145,+3.85%,19.556M,26.841M,37.944B,9.53,
22,UBER,"Uber Technologies, Inc.",45.42,0.55,+1.21%,18.633M,24.197M,85.578B,,
23,NVDA,NVIDIA Corporation,225.12,5.71,+2.60%,17.742M,31.032M,560.999B,80.63,
24,GSAT,"Globalstar, Inc.",1.7701,0.0701,+4.12%,17.194M,41.871M,3.174B,,
